name,gender,image,weight,type_name,cat_name,user_id
REI Co-op Traverse 70,M,/images/seed/essentials/backpack/traverse70.jpg,78,Backpack,Essentials,1
REI Co-op Traverse 65 - Womens,W,/images/seed/essentials/backpack/traverse65w.jpg,75,Backpack,Essentials,1
Osprey Atmos AG 65,M,/images/seed/essentials/backpack/atmos65.jpg,73,Backpack,Essentials,3
Osprey Aura AG 65 - Womens,W,/images/seed/essentials/backpack/atmos65w.jpg,71,Backpack,Essentials,2
Osprey Levity 60,M,/images/seed/essentials/backpack/levity60.jpg,31.2,Backpack,Essentials,3
Osprey Lumina 60 - Womens,W,/images/seed/essentials/backpack/lumina60w.jpg,30,Backpack,Essentials,2
Gregory Baltoro 65,M,/images/seed/essentials/backpack/baltoro65.jpg,79.4,Backpack,Essentials,
Gregory Deva 60 - Womens,W,/images/seed/essentials/backpack/deva60w.jpg,73.75,Backpack,Essentials,
Arct'teryx Bora AR 63,M,/images/seed/essentials/backpack/bora63.jpg,80,Backpack,Essentials,
Arct'teryx Bora AR 61 - Womens,W,/images/seed/essentials/backpack/bora61w.jpg,76.8,Backpack,Essentials,
Osprey Aether AG 70,M,/images/seed/essentials/backpack/aether70.jpg,83.5,Backpack,Essentials,
Osprey Ariel AG 65 - Womens,W,/images/seed/essentials/backpack/ariel65w.jpg,78.4,Backpack,Essentials,3
REI Co-op Trail 70,M,/images/seed/essentials/backpack/trail70.jpg,82,Backpack,Essentials,
REI Co-op Trail 65 - Womens,W,/images/seed/essentials/backpack/trail65w.jpg,76,Backpack,Essentials,
Deuter Aircontact Lite 50+10,M,/images/seed/essentials/backpack/aircontact50.jpg,62,Backpack,Essentials,
Deuter Aircontact Lite 45+10 - Womens,W,/images/seed/essentials/backpack/aircontact545w.jpg,60,Backpack,Essentials,2
Kelty Coyote 65,M,/images/seed/essentials/backpack/coyote65.jpg,61,Backpack,Essentials,
Kelty Coyote 60 - Womens,W,/images/seed/essentials/backpack/coyote60w.jpg,74,Backpack,Essentials,
Granite Gear Crown2 60,M,/images/seed/essentials/backpack/crown260.jpg,38,Backpack,Essentials,
Granite Gear Crown2 60 - Womens,W,/images/seed/essentials/backpack/crown260w.jpg,35.2,Backpack,Essentials,
Gregory Paragon 58,M,/images/seed/essentials/backpack/paragon58.jpg,57,Backpack,Essentials,3
Gregory Maven 55 - Womens,W,/images/seed/essentials/backpack/maven55.jpg,54,Backpack,Essentials,
Osprey Exos 58,M,/images/seed/essentials/backpack/exos58.jpg,43.5,Backpack,Essentials,
Osprey Eja 58 - Womens,W,/images/seed/essentials/backpack/eja58w.jpg,42,Backpack,Essentials,1
Gossamer Gear Mariposa 60,U,/images/seed/essentials/backpack/mariposa60.jpg,32.7,Backpack,Essentials,
Zpacks Arc Blast 55L,U,/images/seed/essentials/backpack/arcblast55.jpg,21,Backpack,Essentials,
Hyperlite 3400 Southwest,U,/images/seed/essentials/backpack/hyperlite3400.jpg,32.6,Backpack,Essentials,1
ULA Circuit 68,U,/images/seed/essentials/backpack/ulacircuit.jpg,41,Backpack,Essentials,
Grand Trunk Skeeter Beeter Pro,,/images/seed/essentials/shelter/skeeterbeeterpro.jpg,30,Shelter,Essentials,
Hennessy Hammock Hyperlite,,/images/seed/essentials/shelter/hennessyhammock.jpg,28,Shelter,Essentials,
Warbonnet Blackbird Hammock (without tarp),,/images/seed/essentials/shelter/blackbirdhammock.jpg,18,Shelter,Essentials,
Jacks 'R' Better Bear Mountain Bridge Hammock(without tarp),,/images/seed/essentials/shelter/bearhammock.jpg,32,Shelter,Essentials,
REI Co-Op Quarter Dome 1,,/images/seed/essentials/shelter/quarterdome1.jpg,39,Shelter,Essentials,
Nemo Dagger 2P,,/images/seed/essentials/shelter/nemodagger2p.jpg,53,Shelter,Essentials,
REI Co-op Half Dome 2 Plus,,/images/seed/essentials/shelter/halfdome2plus.jpg,78,Shelter,Essentials,
Big Agnes Copper Spur HV UL2,,/images/seed/essentials/shelter/copperspurhvul2.jpg,49,Shelter,Essentials,
Zpacks Duplex Flex,,/images/seed/essentials/shelter/zpacksduplexflex.jpg,31.2,Shelter,Essentials,
MSR Hubba Hubba NX,,/images/seed/essentials/shelter/hubbahubbanx.jpg,55,Shelter,Essentials,
Tarptent Double Rainbow,,/images/seed/essentials/shelter/doublerainbow.jpg,42,Shelter,Essentials,
Marmot Tugsten 2p,,/images/seed/essentials/shelter/marmottungsten2p.jpg,77,Shelter,Essentials,
Big Agnes Fly Creek HV UL2,,/images/seed/essentials/shelter/baflycreekul2.jpg,31,Shelter,Essentials,
Kelty TrailLogic TN2,,/images/seed/essentials/shelter/keltytraillogic2.jpg,68,Shelter,Essentials,
Sierra Designs Backcountry Bed 700,M,/images/seed/essentials/sleeping_bag/sdbackcountrybed700.jpg,31,Sleeping Bag,Essentials,
Sierra Designs Backcountry Bed 700 - Womens,W,/images/seed/essentials/sleeping_bag/sdbackcountrybed700w.jpg,39,Sleeping Bag,Essentials,
Mountain Hardwear Lamina Z,M,/images/seed/essentials/sleeping_bag/mhlaminaz.jpg,43,Sleeping Bag,Essentials,
Mountain Hardwear Lamina Z Flame 22 -Womens,W,/images/seed/essentials/sleeping_bag/mhlaminazflame22w.jpg,55.7,Sleeping Bag,Essentials,
Katabatic Gear Flex 22,U,/images/seed/essentials/sleeping_bag/katabaticflex22.jpg,22.5,Sleeping Bag,Essentials,
Nemo Disco 30,M,/images/seed/essentials/sleeping_bag/nemodisco30.jpg,37,Sleeping Bag,Essentials,
Nemo Rave 30 - Womens,W,/images/seed/essentials/sleeping_bag/nemodisco30w.jpg,39,Sleeping Bag,Essentials,
Marmot Trestles 20 Elite,M,/images/seed/essentials/sleeping_bag/marmottrestle20.jpg,39,Sleeping Bag,Essentials,
Marmot Trestles 20 Elite - Womens,W,/images/seed/essentials/sleeping_bag/marmottrestleselite20w.jpg,46.5,Sleeping Bag,Essentials,
Western Mountaineering UltraLite,U,/images/seed/essentials/sleeping_bag/westernul.jpg,29,Sleeping Bag,Essentials,
